question_number,question,answer,how_to_use_in_the_paper
1,All codes used to develop the PoC,"manifest.json; src/lib/banks.js; src/lib/detect.js; src/lib/storage.js; src/background/service-worker.js; src/content/content.js; src/content/content.css; src/popup/popup.html; src/popup/popup.js; src/popup/popup.css; src/warning/warning.html; src/warning/warning.js; src/warning/warning.css; src/options/options.html; src/options/options.js; src/options/options.css; src/ui/tokens.css; src/ui/shared.css; icons/; demo/test-links.html","The PoC is a Manifest V3 browser extension written in JavaScript HTML and CSS. Detection runs on the device. There is no backend server."
2,Database for storing reported phishing links,"There is no remote database of reported phishing links. The PoC stores data locally with chrome.storage.local (settings and recent checks) and chrome.storage.session (temporary Continue anyway allow-list). Official domains live in src/lib/banks.js.","Do not describe MySQL Firebase or a crowd-report database. Write that NairaShield uses a local official-domain allowlist plus heuristic scoring."
3,User interface view of extension board on a legit ebanking portal,"Screenshot the toolbar popup on an official bank site. Open https://www.gtbank.com or https://www.firstbanknigeria.com then click the NairaShield icon. Expected verdict: Safe / Official GTBank or Official First Bank.","Insert that screenshot as the legitimate-portal UI figure. Caption: NairaShield popup on an official e-banking domain showing a Safe verdict."
4,User interface view of extension boards alert page upon threat detection,"Screenshot the full-page warning. Open demo/test-links.html and click Fake GTBank typo + BVN path (or the Access/Zenith fake links). Expected screen: Dangerous link / This is not an official bank website / Go back / Continue anyway.","Insert that screenshot as the threat-alert UI figure. Caption: NairaShield intercept page after a localized phishing URL was blocked."
5,Sample count Legitimate Nigerian domain,55,"55 unique official Nigerian bank fintech and regulator domains from the allowlist in src/lib/banks.js. The full evaluation also included 20 other legitimate control sites so total legitimate URLs tested = 75."
6,Sample count localized phishing scams,45,"45 constructed localized phishing-style URLs: typosquats brand+risky TLD fake BVN/KYC/login paths and HTTP impersonation. See demo/evaluation-results.csv."
7,True positive count: number of successfully flagged phishing scams,44,"44 of 45 phishing URLs were flagged as danger or caution."
8,False Negative count: number of phishing scams that bypassed the check,1,"1 phishing URL was not flagged: https://xn--gtbnk-3ve.com/ (punycode lookalike)."
9,True Negatives: number of safely passed legitimate addresses,75,"All 75 legitimate URLs were passed (55 official Nigerian domains + 20 other legitimate sites). No official allowlist domain was blocked."
10,False positives: number of false alerts on legitimate addresses,0,"No legitimate address in the evaluation set produced a false alert."
